listing_number,title,price,location,description,bedrooms,bathrooms,parking_spaces,erf_size
115464081,Veliciae Luxury Real Estate,17350000,Camps Bay,"8 Bedroom House for sale in Camps Bay - Cape TownPrice Excludes VAT - VAT Applicable 

Tucked away in a peaceful street in St Fillians, just off Geneva Drive, this property offers the best of Camps Bay living. It’s a short walk to the main strip, giving you easy access to the ",8,8,5,970
115595636,ATCB Real Estate,2600000,Belhar,"6 Bedroom House for sale in Belhar - Cape Townscroll down for VIDEO 
This exceptional property, located in the sought-after area of Old Belhar, offers the perfect blend of comfort, style, and outdoor living. Situated on a generous 829m² plot, this home is ideal for a ",6,3,6,829
115591010,Constantia Valley Estates,1495000,Muizenberg,"3 Bedroom Townhouse for sale in Muizenberg - Cape TownThis charming three-bedroom townhouse, located in the sought-after Santiago Bay complex within Capricorn Beach Estate, offers lovely sea and mountain views. The estate provides 24-hour manned security, communal swimming pools and ",3,1,2,78
115436802,We Trade Property - Cape Town,4900000,Rondebosch East,"4 Bedroom House for sale in Rondebosch East - Cape TownNestled at the tranquil end of a quiet cul-de-sac, this exceptional home offers unparalleled privacy with no opposite neighbours. Enjoy the convenience of proximity to top-rated schools, vibrant shopping malls, and major ",4,2,2,535
115512894,Imagine Properties,895000,Diep River,"1 Bedroom Apartment / flat for sale in Diep River - Cape TownPriced to sell quick - One of the most sought after complexes in Diep River. The stunning family friendly complex offers a communal swimming pool and tennis courts. Safety is a priority with 24 hr security guards.

Located on the ",1,1,1,41
115460568,Sotheby's International Realty - Atlantic Seaboard & City Bowl,3250000,Cape Town City Centre,"1 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownThis beautifully renovated corner unit in a modern Cape Town high-rise offers the perfect blend of sophistication and urban living. Natural light floods the open-plan living area through floor-to-ceiling windows, highlighting the ",1,1,2,83
115558032,Constantia Valley Estates,4950000,Bergvliet,"4 Bedroom House for sale in Bergvliet - Cape TownOPEN HOUSE SATURDAY 22nd February 2025 from 12:30pm to 1:30pm, Please contact agent in advance to book as attendance strictly by prior booking.

This beautifully modernized, north-facing home offers an exceptional blend of ",4,3,5,748
115611536,Seeff Pinelands,4200000,Pinelands,"5 Bedroom House for sale in Pinelands - Cape Town** OPEN HOUR SUNDAY 23 FEBRUARY  5PM - 6PM **

New release. Exclusive instruction.

Discover this charming and well-maintained family home, perfectly designed for comfort and convenience. Featuring four generously sized bedrooms, all with wood flooring and built-in cupboards ",5,3,6,818
115500926,Constantia Valley Estates,1950000,Muizenberg,"3 Bedroom House for sale in Muizenberg - Cape Town""Price Includes Vat so no Transfer Duty payable""

This sunny & spacious 3 bedroomed, 2 bath roomed home boasts modern and spacious double volume open plan living area with good flow to covered patio and garden ",3,2,2,320
115526669,TPF Waterfront Property,12000000,Waterfront,"2 Bedroom Apartment / flat for sale in Waterfront - Cape TownSOLE MANDATE 

An exceptional opportunity to own a luxury waterfront apartment at an unbeatable price!

This beautifully renovated 2-bedroom, both en-suite unit boasts a modern open-plan kitchen, dining, and lounge area, seamlessly leading to a spacious terrace ",2,2,2,129
115485856,Imagine Properties,985000,Diep River,1 Bedroom Apartment / flat for sale in Diep River - Cape TownSole Mandate - Avondale Gardens is one of the most sought after complexes in Plumstead/Diep River. The stunning family friendly complex offers a communal swimming pool and tennis courts. Safety is a priority with 24 hr security ,1,1,1,41
115361413,Constantia Valley Estates,1950000,Muizenberg,"3 Bedroom House for sale in Muizenberg - Cape Town""Price Includes Vat so no Transfer Duty payable""

This sunny & spacious 3 bedroomed, 2 bath roomed home boasts modern and spacious double volume open plan living area with good flow to covered patio and garden ",3,2,2,320
115468563,Constantia Valley Estates,3250000,Kenilworth Upper,"2 Bedroom Apartment / flat for sale in Kenilworth Upper - Cape TownExclusive mandate.
This stylish sunny light and bright north facing GROUND FLOOR apartment situated in the highly sought after and well run Dennekamp complex.

This gorgeous apartment offers spacious proportions and features ",2,2,1,129
115510460,Surdo Prop,4300000,Wynberg Upper,"3 Bedroom Townhouse for sale in Wynberg Upper - Cape TownNestled in the prestigious and historic pet-friendly Petersklip Estate, this inviting 3-bedroom, 2-bathroom maisonette offers the perfect blend of contemporary living with rich history. 

Located in the heart of the ",3,2,2,
115472763,Seeff Pinelands,4495000,Pinelands,"5 Bedroom House for sale in Pinelands - Cape Town** On show Sunday 23 Feb 3 - 5 pm **

New release. Exclusive instruction.

Discover the perfect blend of space & comfort with this 5-bedroom, 3-bathroom home.

Situated on an expansive double erven, this property offers unparalleled versatility and potential for family ",5,3,7,1
115544633,RE/MAX Property Associates - Western Cape,1620000,Pinelands,"1 Bedroom Apartment / flat for sale in Pinelands - Cape TownSole mandate:

This charming, ground floor, garden apartment is situated in a Sectional Title apartment block called Culemborg.   The building is located in central Pinelands and is just a short walk to Howard Centre with all its amenities.

This sunny apartment is 63sqm ",1,1,1,63
115618621,1 Bedroom Apartment,1890000,Muizenberg,"1 Bedroom Apartment / flat for sale in Muizenberg - Cape TownVIEWINGS BY APPOINTMENT

Discover Your Coastal Retreat - Escape to your very own slice ",1,1,1,61
115613733,5 Bedroom House,3250000,Crawford,"5 Bedroom House for sale in Crawford - Cape Town3 Bedrooms with Built in Cupboards 
3 bathroom including 1 ensuite
Kitchen 
Open plan ",5,4,5,507
115547944,Rolix Real Estate,25950000,Claremont Upper,"4 Bedroom House for sale in Claremont Upper - Cape TownTop of Torquay – The Final Home in an Exclusive Four-Home Estate | No Transfer Duty |

Designed by Architect Gerd Weideman

The last available home in this exclusive four-residence estate, 19 on Torquay offers a balance of modern, functional living immersed in nature and ",4,5.5,3,699
115311436,Rolix Real Estate,25950000,Claremont Upper,"4 Bedroom House for sale in Claremont Upper - Cape TownTop of Torquay – The Final Home in an Exclusive Four-Home Estate | No Transfer Duty |

Designed by Architect Gerd Weideman

The last available home in this exclusive four-residence estate, 19 on Torquay offers a balance of modern, functional living immersed in nature and ",4,5.5,3,699
115614081,2 Bedroom Apartment,3290000,Vredehoek,"2 Bedroom Apartment / flat for sale in Vredehoek - Cape TownExclusive Sole Mandate – A Rare Find in a Prime Location

Perfectly positioned in one of ",2,2,1,77
115618959,2 Bedroom Apartment,3350000,Foreshore,2 Bedroom Apartment / flat for sale in Foreshore - Cape TownResidents of Zeeland Pier will benefit from the development's prime location in the ,2,1,,80
115588161,4 Bedroom House,10800000,Claremont Upper,"4 Bedroom House for sale in Claremont Upper - Cape Town55 Newlands Road,  Claremont Upper

Exclusive Mandate, quietly listed with Link

Immerse ",4,3.5,8,484
115541109,RE/MAX Property Associates - Western Cape,3200000,Kensington,"5 Bedroom House for sale in Kensington - Cape TownSole Mandate:
This glorious double storey is tiled throughout, is light and bright and offers space and accommodation for the extended family and then some!  

Totalling 5 bedrooms, 3 bathrooms, 4 living areas, 2 kitchens, Lock up garage, domestic quarters and a well ",5,3,2,586
115507215,Hamiltons Property Portfolio - Western Cape,34950000,Waterfront,"3 Bedroom Apartment / flat for sale in Waterfront - Cape TownExperience the pinnacle of contemporary living in this exquisite 3-level penthouse, located in the heart of the prestigious V&A Waterfront. 

With unparalleled 360-degree views spanning across the vibrant harbor, picturesque marina, and iconic Table Mountain, this home ",3,3.5,3,357
115400335,ATCB Real Estate,1599000,Belhar,"3 Bedroom House for sale in Belhar - Cape TownExclusive Sole Mandate "" Ths property offers an exceptional opportunity for investment or family living,very neat  and ready to move in , white shell and freshly painted ! 425m land and building 148m ( 2 dwellings)
A great ",3,2,3,425
106223808,Industrial Property,2600000,Diep River,Industrial property for sale in Diep River - Cape TownConstantiaberg Business Park is a very well managed park which is peaceful and does not ,,,,175
115591902,4 Bedroom House,2595000,Plumstead,"4 Bedroom House for sale in Plumstead - Cape TownThis spacious family home has a lot of accommodation for a growing family! 
4 bedrooms ",4,3,2,172
115575660,1 Bedroom Apartment,1050000,Harfield Village,1 Bedroom Apartment / flat for sale in Harfield Village - Cape TownThis charming one-bedroom ground-floor apartment is located in the heart of Harfield ,1,1,1,59
115592335,4 Bedroom House,10750000,Bishopscourt,4 Bedroom House for sale in Bishopscourt - Cape TownSole and Exclusive Mandate Set in one of Cape Town’s most prestigious and sought-after ,4,3.5,4,1
115618928,1 Bedroom Apartment,2150000,Foreshore,1 Bedroom Apartment / flat for sale in Foreshore - Cape TownResidents of Zeeland Pier will benefit from the development's prime location in the ,1,1,,45
115618887,1 Bedroom Apartment,2260000,Foreshore,1 Bedroom Apartment / flat for sale in Foreshore - Cape TownResidents of Zeeland Pier will benefit from the development's prime location in the ,1,1,,45
115568078,3 Bedroom House,8500000,Constantia,"3 Bedroom House for sale in Constantia - Cape TownExclusive sole mandate - view by appointment with Faith. 

3 bedrooms, 2 bathrooms, plus ",3,2,4,752
115575845,1 Bedroom Apartment,1010000,Harfield Village,1 Bedroom Apartment / flat for sale in Harfield Village - Cape TownThis charming first-floor one-bedroom flat is tucked away in the heart of Harfield ,1,1,1,42
115613608,3 Bedroom Apartment,4900000,Sea Point,"3 Bedroom Apartment / flat for sale in Sea Point - Cape TownSole, Exclusive Mandate

Excellent Air B&B investment property, enjoying amazing ",3,1.5,2,121
115508294,Sotheby's International Realty - Atlantic Seaboard & City Bowl,2860000,Cape Town City Centre,"2 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownThis 129sqm two-bedroom, two-bathroom apartment in Cape Town’s city centre is the perfect combination of space, style, and investment potential. With an open-plan design that invites natural light, it’s ideal for modern city living or high-performing short-term rentals.

Both ",2,2,1,129
115557554,Rolix Real Estate,14450000,Camps Bay,"4 Bedroom House for sale in Camps Bay - Cape TownPlease send message for a video tour.
Welcome – a newly renovated family home radiating warmth and charm with an elegant Asian-inspired design.

This property boasts partial sea views and stunning mountain vistas, creating a tranquil retreat. Offering 4 bedrooms, with 3 ",4,2.5,4,595
112986611,Commercial Property,3629000,Observatory,"Commercial property for sale in Observatory - Cape TownOffice for Sale in Waverley Court, an outstanding commercial property offering a prime ",,,,275
115557462,2 Bedroom Apartment,1365000,Plumstead,2 Bedroom Apartment / flat for sale in Plumstead - Cape TownThe view of the mountain from the lounge and main bedroom of this 2 bedroom flat is a ,2,1,1,77
115552826,2 Bedroom Apartment,6850000,Sea Point,"2 Bedroom Apartment / flat for sale in Sea Point - Cape TownExclusive to Sotheby's International Realty.

This stunning two-bedroom ",2,2,1,90
115408137,2 Bedroom Apartment,1395000,Costa Da Gama,"2 Bedroom Apartment / flat for sale in Costa Da Gama - Cape TownSole and Exclusive Mandate
This immaculate 2nd-floor corner apartment in the ",2,1,1,62
115601850,Commercial Property,6000000,Cape Town City Centre,Commercial property for sale in Cape Town City Centre - Cape TownA rare freestanding building on sought-after Loop Street is now available for sale. ,,,,300
115619975,3 Bedroom House,1850000,Pelican Park,3 Bedroom House for sale in Pelican Park - Cape TownThis well-maintained home is ideal for families or those who love space and ,3,2,3,375
115620820,2 Bedroom Apartment,1395000,Costa Da Gama,"2 Bedroom Apartment / flat for sale in Costa Da Gama - Cape TownSole and Exclusive Mandate
This immaculate 2nd-floor corner apartment in the ",2,1,1,62
115620010,3 Bedroom Townhouse,1495000,Muizenberg,"3 Bedroom Townhouse for sale in Muizenberg - Cape TownThis lovely three-bedroom townhouse, located in the sought-after Santiago Bay complex ",3,1,2,78
115617056,5 Bedroom House,3950000,Rylands,"5 Bedroom House for sale in Rylands - Cape TownExclusive Sole Mandate!

I present a beautifully designed and constructed double-storey ",5,3,4,496
115613586,3 Bedroom House,1280000,Silvertown,"3 Bedroom House for sale in Silvertown - Cape Town3 Bedroom 
 Kitchen
Bathroom
Toilet
Lounge /dining open plan
Swimming pool
2 car ",3,1,1,286
115614228,Commercial Property,1750000,Cape Town City Centre,"Commercial property for sale in Cape Town City Centre - Cape TownSeller considering offers from R1 750 000 excl. VAT and up!


Modern office available to ",,,,233
115619913,Commercial Property,5950000,Woodstock,Commercial property for sale in Woodstock - Cape TownImmaculate retail space with parking available in Woodstock combines classical Victorian ,,,,400
115619333,3 Bedroom House,6500000,Meadowridge,"3 Bedroom House for sale in Meadowridge - Cape Town*** EXCLUSIVE LISTING ***

Beautifully laid out, with neutral finishes and tons of ",3,2,5,619
115617545,2 Bedroom Apartment,4995000,Claremont Upper,"2 Bedroom Apartment / flat for sale in Claremont Upper - Cape TownExclusive Mandate

Discover luxury living at Hugon Place, where a truly magnificent view ",2,2,2,84
115620461,3 Bedroom House,3900000,Observatory,"3 Bedroom House for sale in Observatory - Cape TownOn show sunday, february 22, 3-5 pm @ 19 kotzee road. Corner of waverley & kotzee ",3,3,4,455
115452092,Sotheby's International Realty - Atlantic Seaboard & City Bowl,2700000,Sea Point,"0.5 Bedroom Apartment / flat for sale in Sea Point - Cape TownExclusive to Sotheby's International Realty.

Welcome to this exquisite studio apartment located in the trendy neighbourhood of Fresnaye  boasting a lovely balcony with amazing views of Lion's Head, perfect for relaxation or entertainment. The contemporary design ",0.5,1,,26
115611750,3 Bedroom House,3095000,Tokai,"3 Bedroom House for sale in Tokai - Cape Town*** EXCLUSIVE LISTING ***

Set in the popular Tokai Hamlet with its pretty collection ",3,2,2,256
115557232,Revo Property,1365000,Mowbray,"0.5 Bedroom Apartment / flat for sale in Mowbray - Cape TownConvenience, Comfort, and Community—All in One Place

The Fibonacci redefines student accommodation in Cape Town, offering thoughtfully crafted spaces to support every aspect of student life. From sleek studio apartments to spacious two-bedroom units, each apartment combines ",0.5,1,,23
115556861,Revo Property,1265000,Mowbray,"0.5 Bedroom Apartment / flat for sale in Mowbray - Cape TownConvenience, Comfort, and Community—All in One Place

The Fibonacci redefines student accommodation in Cape Town, offering thoughtfully crafted spaces to support every aspect of student life. From sleek studio apartments to spacious two-bedroom units, each apartment combines ",0.5,1,,21
115619615,2 Bedroom Apartment,3400000,Tamboerskloof,"2 Bedroom Apartment / flat for sale in Tamboerskloof - Cape TownWe are pleased to present to you this great new listing - a 2-bedroom, top floor ",2,1,1,81
113825257,Revo Property,28500000,Camps Bay,"3 Bedroom House for sale in Camps Bay - Cape TownWelcome to a realm where luxury meets panoramic perfection. Nestled on the slopes of the prestigious Camps Bay, this bespoke offering unveils the epitome of opulence: a bespoke villa, a masterpiece crafted by the renowned ",3,3,6,499
112233505,Commercial Property,11800000,Observatory,"Commercial property for sale in Observatory - Cape TownIdeally situated on Main Road, Observatory (corner of Polo Road)  

This tenanted ",,,,627
115576049,Commercial Property,10995000,Cape Town City Centre,Commercial property for sale in Cape Town City Centre - Cape TownSole mandate. Elevate your business with this exceptional office space in the heart of ,,,,653
115545241,Commercial Property,4837500,Cape Town City Centre,"Commercial property for sale in Cape Town City Centre - Cape TownThe Rubik, located on the corner of Loop and Riebeek Street, offers remarkable ",,,,129
115607897,2 Bedroom Apartment,2100000,Kenilworth,"2 Bedroom Apartment / flat for sale in Kenilworth - Cape TownYellowwoods is a small, modern complex of 24 apartments
56sqm apartment with a South ",2,2,1,56
115607101,2 Bedroom Apartment,2600000,Tokai,2 Bedroom Apartment / flat for sale in Tokai - Cape TownThis apartment is one of the best in the block! Enter the apartment to an open plan ,2,2,2,81
115612774,2 Bedroom Apartment,2795000,Pinelands,"2 Bedroom Apartment / flat for sale in Pinelands - Cape Town**RETIREMENT UNIT**
If you are looking o retire in peace and quiet - look no further.  ",2,1,1,65
115558359,Revo Property,2150000,Mowbray,"2 Bedroom Apartment / flat for sale in Mowbray - Cape TownConvenience, Comfort, and Community—All in One Place

The Fibonacci redefines student accommodation in Cape Town, offering thoughtfully crafted spaces to support every aspect of student life. From sleek studio apartments to spacious two-bedroom units, each apartment combines ",2,1,,38
115614301,2 Bedroom Apartment,3400000,Cape Town City Centre,2 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownExperience urban living at its finest in this stunning 107m2 multi-level corner unit in ,2,2,1,107
115613180,2 Bedroom Apartment,2750000,Cape Town City Centre,"2 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownLocated in upper Long street, in the landmark Victoria Court heritage apartments, this ",2,1,,66
115577939,2 Bedroom House,1749000,Kirstenhof,"2 Bedroom House for sale in Kirstenhof - Cape TownSo well situated .. in a quiet Crescent, on a corner plot with beautiful mountain ",2,1,1,111
115323620,Imagine Properties,945000,Diep River,1 Bedroom Apartment / flat for sale in Diep River - Cape TownReduced Priced for quick sale - One of the most sought after complexes in Diep River. The stunning family friendly complex offers a communal swimming pool and tennis courts. Safety is a priority with 24 hr security ,1,1,1,41
115597278,3 Bedroom House,2600000,Salt River,"3 Bedroom House for sale in Salt River - Cape Town3 Bed 2 bath for sale in culturally rich Salt River

Semi-detached double storey home ",3,2,,127
115333495,Commercial Property,11800000,Observatory,"Commercial property for sale in Observatory - Cape TownIdeally situated on Main Road, Observatory (corner of Polo Road)  

This tenanted ",,,,627
115557287,Revo Property,1850000,Mowbray,"2 Bedroom Apartment / flat for sale in Mowbray - Cape TownConvenience, Comfort, and Community—All in One Place

The Fibonacci redefines student accommodation in Cape Town, offering thoughtfully crafted spaces to support every aspect of student life. From sleek studio apartments to spacious two-bedroom units, each apartment combines ",2,1,,31
115490175,Your Realtors,1595000,Charlesville,"3 Bedroom House for sale in Charlesville - Cape TownCome and view this beautiful home located in the friendly neighborhood of Charlesville. 
This property offers:
- 3 Bedrooms (with built-in cupboards)
- 2 Bathrooms
- Lounge
- Fitted kitchen
- Single garage
The spacious ",3,2,1,405
115588916,1 Bedroom Apartment,1620000,Rondebosch,1 Bedroom Apartment / flat for sale in Rondebosch - Cape TownThe perfect student pad or investment opportunity just listed in sought-after RONDEBOSCH ,1,1,1,60
115608699,Keller Williams Explore Atlantic,4950000,Claremont Upper,"3 Bedroom House for sale in Claremont Upper - Cape TownWelcome to this stunning 3-bedroom home, perfectly situated in the heart of Claremont Upper. This neat and modern property offers the ideal blend of location, convenience, and charm, making it perfect for first-time homebuyers or small families.

*Sole & Exclusive ",3,2.5,1,334
